"","chr","new_wind","bkpt_in_window_blood","bkpt_in_window_bone","bkpt_in_window_brain","bkpt_in_window_breast","bkpt_in_window_liver","bkpt_in_window_ovary","bkpt_in_window_pancreatic","bkpt_in_window_prostate","bkpt_in_window_skin","bkpt_in_window_uterus","from","to","density_blood","density_bone","density_brain","density_breast","density_liver","density_ovary","density_pancreatic","density_prostate","density_skin","density_uterus","prod_density_blood","prod_density_brain","prod_density_bone","prod_density_uterus","prod_density_liver","prod_density_prostate","prod_density_skin","prod_density_ovary","prod_density_pancreatic","prod_density_breast","overall_density","blood_bkpt_hotspot_0.5","bone_bkpt_hotspot_0.5","brain_bkpt_hotspot_0.5","breast_bkpt_hotspot_0.5","liver_bkpt_hotspot_0.5","ovary_bkpt_hotspot_0.5","pancreatic_bkpt_hotspot_0.5","prostate_bkpt_hotspot_0.5","skin_bkpt_hotspot_0.5","uterus_bkpt_hotspot_0.5","overall_density_bkpt_hotspot_0.5","blood_bkpt_hotspot_1","bone_bkpt_hotspot_1","brain_bkpt_hotspot_1","breast_bkpt_hotspot_1","liver_bkpt_hotspot_1","ovary_bkpt_hotspot_1","pancreatic_bkpt_hotspot_1","prostate_bkpt_hotspot_1","skin_bkpt_hotspot_1","uterus_bkpt_hotspot_1","overall_density_bkpt_hotspot_1"
"27","1",27,11,2,2,80,20,28,48,25,20,0,2.6e+07,2.7e+07,0.00472914875322442,0.000785545954438335,0.00128122998078155,0.000416894655931629,0.000896418806866568,0.000391099688517034,0.000559916945653061,0.000521474312175382,0.000365303475862573,0,0.000673496518067021,5.08834742600181e-05,5.36208842620024e-06,0,0.000108749535676335,8.99595772787812e-05,1.31477515358543e-05,1.45009037473737e-05,2.93595916274798e-05,0.000108459872478645,0.00109391931309771,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"28","1",28,0,2,0,70,22,31,32,26,37,4,2.7e+07,2.8e+07,0,0.000785545954438335,0,0.000364782823940176,0.000986060687553225,0.00043300322657243,0.000373277963768708,0.000542333284662397,0.00067581143034576,0.000589796520200531,0,0,5.36208842620024e-06,7.75903582268151e-05,0.000119624489243969,9.35579603699324e-05,2.43233403413305e-05,1.60545720060209e-05,1.95730610849865e-05,9.49023884188141e-05,0.000450988258118069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","1",29,0,2,0,75,6,25,31,77,27,1,2.8e+07,2.9e+07,0,0.000785545954438335,0,0.000390838739935902,0.00026892564205997,0.000349196150461637,0.000361613027400936,0.00160614088150018,0.000493159692414473,0.000147449130050133,0,0,5.36208842620024e-06,1.93975895567038e-05,3.26248607029006e-05,0.000277075498018646,1.77494645734033e-05,1.29472354887266e-05,1.89614029260807e-05,0.000101681130448729,0.000485799270141391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","1",30,3,1,0,53,7,21,25,5,16,4,2.9e+07,3e+07,0.00128976784178848,0.000392772977219167,0,0.000276192709554704,0.000313746582403299,0.000293324766387775,0.000291623409194303,0.000104294862435076,0.000292242780690058,0.000589796520200531,0.000183680868563733,0,2.68104421310012e-06,7.75903582268151e-05,3.80623374867174e-05,1.79919154557562e-05,1.05182012286835e-05,1.08756778105303e-05,1.52914539726457e-05,7.18546655171021e-05,0.000428546522475083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","1",31,0,2,0,55,12,22,12,13,18,0,3e+07,3.1e+07,0,0.000785545954438335,0,0.000286615075952995,0.000537851284119941,0.000307292612406241,0.000139979236413265,0.000271166642331199,0.000328773128276316,0,0,0,5.36208842620024e-06,0,6.52497214058013e-05,4.67789801849662e-05,1.18329763822689e-05,1.13935672300794e-05,7.33989790686995e-06,7.45661623290682e-05,0.000222523393865254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","1",32,0,0,0,86,16,38,47,32,20,1,3.1e+07,3.2e+07,0,0,0,0.000448161755126501,0.000717135045493254,0.000530778148701689,0.000548252009285289,0.000667487119584489,0.000365303475862573,0.000147449130050133,0,0,0,1.93975895567038e-05,8.69996285410684e-05,0.00011514825891684,1.31477515358543e-05,1.96797979428644e-05,2.8747933468574e-05,0.000116594362914543,0.000399715322876448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","1",33,2,0,0,64,11,34,43,22,18,10,3.2e+07,3.3e+07,0.000859845227858985,0,0,0.000333515724745303,0.000493030343776612,0.000474906764627827,0.000501592263814201,0.000458897394714336,0.000328773128276316,0.00147449130050133,0.000122453912375822,0,0,0.000193975895567038,5.98122446219845e-05,7.91644280053275e-05,1.18329763822689e-05,1.76082402646681e-05,2.63013008329506e-05,8.67678979829157e-05,0.000597916896032975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","1",34,0,0,0,66,45,36,44,7,18,1,3.3e+07,3.4e+07,0,0,0,0.000343938091143594,0.00201694231544978,0.000502842456664758,0.000513257200181973,0.000146012807409107,0.000328773128276316,0.000147449130050133,0,0,0,1.93975895567038e-05,0.000244686455271755,2.51886816380587e-05,1.18329763822689e-05,1.86440191037662e-05,2.69129589918565e-05,8.94793947948818e-05,0.000436142075739291,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"35","1",35,0,2,0,44,17,34,34,2,15,0,3.4e+07,3.5e+07,0,0.000785545954438335,0,0.000229292060762396,0.000761955985836583,0.000474906764627827,0.000396607836504252,4.17179449740306e-05,0.00027397760689693,0,0,0,5.36208842620024e-06,0,9.24371053248851e-05,7.1967661823025e-06,9.86081365189074e-06,1.76082402646681e-05,2.07963774027982e-05,5.96529298632546e-05,0.000212914321115999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","1",36,0,0,0,91,11,31,35,2,10,1,3.5e+07,3.6e+07,0,0,0,0.000474217671122228,0.000493030343776612,0.00043300322657243,0.000408272772872024,4.17179449740306e-05,0.000182651737931286,0.000147449130050133,0,0,0,1.93975895567038e-05,5.98122446219845e-05,7.1967661823025e-06,6.57387576792716e-06,1.60545720060209e-05,2.1408035561704e-05,0.000123373104944458,0.000253816188641101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","1",37,0,1,0,75,17,63,40,5,20,9,3.6e+07,3.7e+07,0,0.000392772977219167,0,0.000390838739935902,0.000761955985836583,0.000879974299163326,0.000466597454710885,0.000104294862435076,0.000365303475862573,0.00132704217045119,0,0,2.68104421310012e-06,0.000174578306010334,9.24371053248851e-05,1.79919154557562e-05,1.31477515358543e-05,3.26270334315909e-05,2.44663263562332e-05,0.000101681130448729,0.000459610612776483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","1",38,2,3,0,75,9,49,45,6,40,0,3.7e+07,3.8e+07,0.000859845227858985,0.0011783189316575,0,0.000390838739935902,0.000403388463089956,0.000684424454904809,0.000524922136549745,0.000125153834922092,0.000730606951725146,0,0.000122453912375822,0,8.04313263930035e-06,0,4.89372910543509e-05,2.15902985469075e-05,2.62955030717086e-05,2.5376581557904e-05,2.75246171507623e-05,0.000101681130448729,0.000381902466845485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","1",39,0,1,0,82,10,30,35,14,9,2,3.8e+07,3.9e+07,0,0.000392772977219167,0,0.00042731702232992,0.000448209403433284,0.000419035380553965,0.000408272772872024,0.000292025614818214,0.000164386564138158,0.000294898260100265,0,0,2.68104421310012e-06,3.87951791134076e-05,5.43747678381677e-05,5.03773632761175e-05,5.91648819113444e-06,1.55366825864719e-05,2.1408035561704e-05,0.000111171369290611,0.000300260930070714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","1",40,0,0,0,83,11,56,60,8,10,0,3.9e+07,4e+07,0,0,0,0.000432528205529065,0.000493030343776612,0.000782199377034068,0.000699896182066327,0.000166871779896122,0.000182651737931286,0,0,0,0,0,5.98122446219845e-05,2.878706472921e-05,6.57387576792716e-06,2.90018074947475e-05,3.66994895343497e-05,0.000112527117696594,0.000273401599844813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","1",41,0,0,0,76,17,38,96,5,14,0,4e+07,4.1e+07,0,0,0,0.000396049923135048,0.000761955985836583,0.000530778148701689,0.00111983389130612,0.000104294862435076,0.000255712433103801,0,0,0,0,0,9.24371053248851e-05,1.79919154557562e-05,9.20342607509802e-06,1.96797979428644e-05,5.87191832549596e-05,0.000103036878854712,0.000301068306908276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","1",42,0,0,0,123,9,48,70,23,0,2,4.1e+07,4.2e+07,0,0,0,0.00064097553349488,0.000403388463089956,0.000670456608886344,0.000816545545744048,0.000479756367201352,0,0.000294898260100265,0,0,0,3.87951791134076e-05,4.89372910543509e-05,8.27628110964787e-05,0,2.4858692138355e-05,4.2816071123408e-05,0.000166757053935916,0.000404927098461916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","1",43,2,0,0,107,3,34,49,3,19,0,4.2e+07,4.3e+07,0.000859845227858985,0,0,0.000557596602308554,0.000134462821029985,0.000474906764627827,0.000571581882020834,6.25769174610459e-05,0.000347038302069444,0,0.000122453912375822,0,0,0,1.63124303514503e-05,1.07951492734537e-05,1.24903639590616e-05,1.76082402646681e-05,2.99712497863856e-05,0.000145065079440187,0.000354696425451029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","1",44,1,2,0,107,19,47,44,19,6,2,4.3e+07,4.4e+07,0.000429922613929493,0.000785545954438335,0,0.000557596602308554,0.00085159786652324,0.000656488762867878,0.000513257200181973,0.000396320477253291,0.000109591042758772,0.000294898260100265,6.1226956187911e-05,0,5.36208842620024e-06,3.87951791134076e-05,0.000103312058892519,6.83692787318737e-05,3.9443254607563e-06,2.43408027188059e-05,2.69129589918565e-05,0.000145065079440187,0.000477328727963517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","1",45,0,0,0,89,9,63,28,2,18,0,4.4e+07,4.5e+07,0,0,0,0.000463795304723938,0.000403388463089956,0.000879974299163326,0.000326618218297619,4.17179449740306e-05,0.000328773128276316,0,0,0,0,0,4.89372910543509e-05,7.1967661823025e-06,1.18329763822689e-05,3.26270334315909e-05,1.71264284493632e-05,0.000120661608132492,0.000238382103632369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","1",46,0,0,0,108,16,49,26,2,12,0,4.5e+07,4.6e+07,0,0,0,0.000562807785507699,0.000717135045493254,0.000684424454904809,0.000303288345562075,4.17179449740306e-05,0.000219182085517544,0,0,0,0,0,8.69996285410684e-05,7.1967661823025e-06,7.88865092151259e-06,2.5376581557904e-05,1.59031121315516e-05,0.00014642082784617,0.000289785567180509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","1",47,0,4,0,82,13,54,47,6,3,4,4.6e+07,4.7e+07,0,0.00157109190887667,0,0.00042731702232992,0.000582672224463269,0.000754263684997137,0.000548252009285289,0.000125153834922092,5.47955213793859e-05,0.000589796520200531,0,0,1.07241768524005e-05,7.75903582268151e-05,7.0687198189618e-05,2.15902985469075e-05,1.97216273037815e-06,2.79660286556494e-05,2.8747933468574e-05,0.000111171369290611,0.000350449525960953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
