"chr","new_wind","count_sl_15_30","count_sl_16_50","count_sl_6_15","length_sl_15_30","length_sl_16_50","length_sl_6_15","from","to","coverage_sl_15_30","coverage_sl_16_50","coverage_sl_6_15"
"1",185,8461,299,17622,482762,12710,514780,184000000,185000000,0.482762,0.01271,0.51478
"1",186,8293,300,17618,493738,13010,520868,185000000,186000000,0.493738,0.01301,0.520868
"1",187,8437,315,17628,500340,14137,526987,186000000,187000000,0.50034,0.014137,0.526987
"1",188,8408,372,17611,517287,15504,538970,187000000,188000000,0.517287,0.015504,0.53897
"1",189,8282,420,17365,543529,19033,556984,188000000,189000000,0.543529,0.019033,0.556984
"1",190,8336,449,17549,549953,20373,559793,189000000,190000000,0.549953,0.020373,0.559793
"1",191,8419,427,17714,556789,18748,567757,190000000,191000000,0.556789,0.018748,0.567757
"1",192,8233,443,17294,537207,20142,555248,191000000,192000000,0.537207,0.020142,0.555248
"1",193,8387,372,17569,517127,16529,538651,192000000,193000000,0.517127,0.016529,0.538651
"1",194,8366,333,17620,502454,15493,534702,193000000,194000000,0.502454,0.015493,0.534702
"1",195,8424,432,17526,543680,20502,559613,194000000,195000000,0.54368,0.020502,0.559613
"1",196,8428,446,17406,549330,20510,563304,195000000,196000000,0.54933,0.02051,0.563304
"1",197,8334,386,17372,525868,16562,546622,196000000,197000000,0.525868,0.016562,0.546622
"1",198,8375,355,17514,515237,16327,538402,197000000,198000000,0.515237,0.016327,0.538402
"1",199,8445,358,17687,521162,16009,540589,198000000,199000000,0.521162,0.016009,0.540589
"1",200,8407,329,17717,495275,15003,524895,199000000,200000000,0.495275,0.015003,0.524895
"1",201,8513,309,17862,485626,13026,517972,200000000,201000000,0.485626,0.013026,0.517972
"1",202,8226,226,17541,444564,9333,490444,201000000,202000000,0.444564,0.009333,0.490444
"1",203,8422,251,17787,459923,10863,498361,202000000,203000000,0.459923,0.010863,0.498361
"1",204,8292,223,17667,449228,9227,486732,203000000,204000000,0.449228,0.009227,0.486732
"1",205,8256,211,17642,443055,8759,484943,204000000,205000000,0.443055,0.008759,0.484943
"1",206,7730,215,16522,421726,8979,457930,205000000,206000000,0.421726,0.008979,0.45793
"1",207,6545,186,13715,353936,9140,382776,206000000,207000000,0.353936,0.00914,0.382776
"1",208,8331,273,17536,471130,11960,508240,207000000,208000000,0.47113,0.01196,0.50824
"1",209,8336,230,17682,456155,9423,495262,208000000,209000000,0.456155,0.009423,0.495262
"1",210,8385,228,17556,454770,9267,495781,209000000,210000000,0.45477,0.009267,0.495781
"1",211,8294,259,17698,464883,10676,506054,210000000,211000000,0.464883,0.010676,0.506054
"1",212,8318,251,17679,462630,10071,504412,211000000,212000000,0.46263,0.010071,0.504412
"1",213,8287,253,17670,462907,9981,499355,212000000,213000000,0.462907,0.009981,0.499355
"1",214,8273,232,17558,457782,9945,498095,213000000,214000000,0.457782,0.009945,0.498095
"1",215,8414,269,17673,469263,10699,504620,214000000,215000000,0.469263,0.010699,0.50462
"1",216,8390,358,17571,499121,17717,528000,215000000,216000000,0.499121,0.017717,0.528
"1",217,8523,340,17728,517651,15171,537300,216000000,217000000,0.517651,0.015171,0.5373
"1",218,8483,338,17790,504415,14534,527472,217000000,218000000,0.504415,0.014534,0.527472
"1",219,8544,303,17774,493112,12728,521542,218000000,219000000,0.493112,0.012728,0.521542
"1",220,8508,318,17740,491655,13330,521144,219000000,220000000,0.491655,0.01333,0.521144
"1",221,8395,293,17680,480584,12857,514257,220000000,221000000,0.480584,0.012857,0.514257
"1",222,8368,272,17678,473159,11711,510081,221000000,222000000,0.473159,0.011711,0.510081
"1",223,8371,262,17705,467153,11806,505588,222000000,223000000,0.467153,0.011806,0.505588
"1",224,7945,223,16856,436583,9645,474205,223000000,224000000,0.436583,0.009645,0.474205
"1",225,8392,276,17795,469500,11970,505063,224000000,225000000,0.4695,0.01197,0.505063
"1",226,8239,272,17472,463248,11988,505338,225000000,226000000,0.463248,0.011988,0.505338
"1",227,8498,230,17857,467861,9571,501831,226000000,227000000,0.467861,0.009571,0.501831
"1",228,8338,247,17704,472899,10400,511844,227000000,228000000,0.472899,0.0104,0.511844
"1",229,8145,234,17475,476288,10126,507077,228000000,229000000,0.476288,0.010126,0.507077
"1",230,8387,243,17662,462608,9969,502329,229000000,230000000,0.462608,0.009969,0.502329
"1",231,8173,240,17493,443122,10483,494008,230000000,231000000,0.443122,0.010483,0.494008
"1",232,8260,263,17788,459403,11241,503611,231000000,232000000,0.459403,0.011241,0.503611
"1",233,8237,251,17628,458478,11801,500312,232000000,233000000,0.458478,0.011801,0.500312
"1",234,8409,267,17701,474673,12213,506495,233000000,234000000,0.474673,0.012213,0.506495
"1",235,8353,234,17650,457376,10603,500898,234000000,235000000,0.457376,0.010603,0.500898
"1",236,7976,268,16908,457773,12354,488437,235000000,236000000,0.457773,0.012354,0.488437
"1",237,8419,266,17907,467195,12197,506429,236000000,237000000,0.467195,0.012197,0.506429
"1",238,8441,303,17615,489348,13382,517015,237000000,238000000,0.489348,0.013382,0.517015
"1",239,8462,333,17764,503977,15750,534019,238000000,239000000,0.503977,0.01575,0.534019
"1",240,8515,353,17791,506189,15637,530466,239000000,240000000,0.506189,0.015637,0.530466
"1",241,8449,313,17693,481264,13716,513694,240000000,241000000,0.481264,0.013716,0.513694
"1",242,8452,309,17711,481040,12880,515512,241000000,242000000,0.48104,0.01288,0.515512
"1",243,8418,251,17722,470259,12545,506290,242000000,243000000,0.470259,0.012545,0.50629
"1",244,8465,280,17849,493110,12057,525987,243000000,244000000,0.49311,0.012057,0.525987
"1",245,8357,253,17679,464135,11064,504835,244000000,245000000,0.464135,0.011064,0.504835
"1",246,8313,228,17825,452253,9534,496400,245000000,246000000,0.452253,0.009534,0.4964
"1",247,8297,219,17656,468675,9386,503416,246000000,247000000,0.468675,0.009386,0.503416
"1",248,8275,252,17612,468889,11360,510197,247000000,248000000,0.468889,0.01136,0.510197
"1",249,7419,248,15874,429425,11102,466995,248000000,249000000,0.429425,0.011102,0.466995
"1",250,1454,31,3186,80198,1302,87256,249000000,249250621,0.080198,0.001302,0.087256
"10",1,7760,216,16299,436805,8763,465657,0,1000000,0.436805,0.008763,0.465657
"10",2,8143,221,17375,458607,9258,498827,1000000,2000000,0.458607,0.009258,0.498827
"10",3,8330,313,17555,490368,15145,521149,2000000,3000000,0.490368,0.015145,0.521149
"10",4,8492,272,17766,476497,11777,507315,3000000,4000000,0.476497,0.011777,0.507315
"10",5,8498,301,17640,495263,13633,521628,4000000,5000000,0.495263,0.013633,0.521628
"10",6,8356,241,17653,467060,9932,505597,5000000,6000000,0.46706,0.009932,0.505597
"10",7,8211,254,17497,457118,12917,497655,6000000,7000000,0.457118,0.012917,0.497655
"10",8,8416,249,17671,463265,12047,501549,7000000,8000000,0.463265,0.012047,0.501549
"10",9,8393,298,17551,487991,15748,514477,8000000,9000000,0.487991,0.015748,0.514477
"10",10,8428,366,17580,518613,16972,537272,9000000,10000000,0.518613,0.016972,0.537272
"10",11,8412,272,17786,478811,11980,515373,10000000,11000000,0.478811,0.01198,0.515373
"10",12,8369,240,17842,464876,9595,502678,11000000,12000000,0.464876,0.009595,0.502678
"10",13,8390,235,17850,458598,10661,496828,12000000,13000000,0.458598,0.010661,0.496828
"10",14,8530,241,17792,466178,11593,499002,13000000,14000000,0.466178,0.011593,0.499002
"10",15,8406,260,18000,457746,11418,502391,14000000,15000000,0.457746,0.011418,0.502391
"10",16,8480,318,17888,484661,13919,512343,15000000,16000000,0.484661,0.013919,0.512343
"10",17,8495,274,17783,474783,12480,510757,16000000,17000000,0.474783,0.01248,0.510757
"10",18,8133,325,17453,475311,15294,508756,17000000,18000000,0.475311,0.015294,0.508756
"10",19,8071,307,16915,459613,13219,490585,18000000,19000000,0.459613,0.013219,0.490585
"10",20,8340,386,17499,509788,21504,535081,19000000,20000000,0.509788,0.021504,0.535081
"10",21,8471,319,17664,491663,15504,523460,20000000,21000000,0.491663,0.015504,0.52346
"10",22,8444,313,17958,478127,14604,510846,21000000,22000000,0.478127,0.014604,0.510846
"10",23,8386,297,17724,491211,12834,521120,22000000,23000000,0.491211,0.012834,0.52112
"10",24,8425,284,17776,479005,12300,514837,23000000,24000000,0.479005,0.0123,0.514837
"10",25,8355,284,17791,478474,13427,511950,24000000,25000000,0.478474,0.013427,0.51195
"10",26,8370,292,17684,476488,12946,513514,25000000,26000000,0.476488,0.012946,0.513514
"10",27,8383,303,17822,478794,12809,518509,26000000,27000000,0.478794,0.012809,0.518509
"10",28,8414,301,17678,485710,13256,518754,27000000,28000000,0.48571,0.013256,0.518754
"10",29,8390,283,17819,479247,12290,514090,28000000,29000000,0.479247,0.01229,0.51409
"10",30,8430,283,17901,467974,12762,503032,29000000,30000000,0.467974,0.012762,0.503032
"10",31,8314,264,17768,459560,11666,502544,30000000,31000000,0.45956,0.011666,0.502544
"10",32,8380,272,17619,479812,11423,511190,31000000,32000000,0.479812,0.011423,0.51119
"10",33,8243,290,17726,468734,11955,510096,32000000,33000000,0.468734,0.011955,0.510096
"10",34,8461,267,17683,475191,11257,509829,33000000,34000000,0.475191,0.011257,0.509829
"10",35,8461,303,17834,481997,12838,513632,34000000,35000000,0.481997,0.012838,0.513632
"10",36,8408,254,17865,470794,10715,505711,35000000,36000000,0.470794,0.010715,0.505711
"10",37,8451,282,17646,489717,12358,518759,36000000,37000000,0.489717,0.012358,0.518759
"10",38,8280,300,17725,493702,12308,525147,37000000,38000000,0.493702,0.012308,0.525147
"10",39,7645,246,16448,427831,10326,469834,38000000,39000000,0.427831,0.010326,0.469834
"10",40,882,24,2231,48502,1193,62983,39000000,40000000,0.048502,0.001193,0.062983
"10",41,0,0,0,0,0,0,40000000,41000000,0,0,0
"10",42,0,0,0,0,0,0,41000000,42000000,0,0,0
"10",43,4657,148,9851,273804,6378,296807,42000000,43000000,0.273804,0.006378,0.296807
"10",44,8321,244,17701,474947,10409,510213,43000000,44000000,0.474947,0.010409,0.510213
"10",45,8185,228,17497,443905,9496,496938,44000000,45000000,0.443905,0.009496,0.496938
"10",46,8235,242,17458,463737,10250,505184,45000000,46000000,0.463737,0.01025,0.505184
"10",47,7940,284,16875,452841,11402,484821,46000000,47000000,0.452841,0.011402,0.484821
"10",48,6704,228,14170,379827,9863,410308,47000000,48000000,0.379827,0.009863,0.410308
"10",49,7957,256,16828,449418,10995,485014,48000000,49000000,0.449418,0.010995,0.485014
"10",50,7552,256,15921,427845,11991,458194,49000000,50000000,0.427845,0.011991,0.458194
"10",51,8220,222,17658,456184,9509,502731,50000000,51000000,0.456184,0.009509,0.502731
"10",52,7668,252,16003,429628,10306,459986,51000000,52000000,0.429628,0.010306,0.459986
"10",53,8483,344,17753,493665,16427,524262,52000000,53000000,0.493665,0.016427,0.524262
"10",54,8568,364,17797,515580,16057,534991,53000000,54000000,0.51558,0.016057,0.534991
